random-seed,100
12044,[50 61 62 66 280],280
8572,[280],280
3252,[61 62 66 280],280
2549,[126 288],288
7209,[176 126 288],288
10215,[1 51 52 67 280],280
8889,[206 88 32 207 278],278
2990,[21 90 282],282
11821,[50 61 62 66 280],280
8662,[19 285],285
674,[292],292
12712,[54 55 56 279],279
305,[165 147 293],293
9218,[48 49 15 45 279],279
8587,[280],280
12727,[54 55 56 279],279
5953,[281],281
6586,[37 34 33 207 278],278
2338,[133 289],289
9595,[92 93 282],282
12666,[65 16 66 280],280
6466,[11 211 19 285],285
1921,[19 285],285
3863,[5 287],287
1760,[34 33 207 278],278
9461,[88 32 207 278],278
5686,[33 207 278],278
11268,[32 207 278],278
11827,[50 61 62 66 280],280
9080,[49 15 45 279],279
5776,[192 175 141 287],287
3247,[61 62 66 280],280
4662,[175 141 287],287
10311,[17 90 282],282
11941,[50 61 62 66 280],280
9636,[92 93 282],282
10768,[81 82 281],281
12554,[65 16 66 280],280
11379,[51 52 67 280],280
7416,[213 151 168 294],294
6981,[86 85 281],281
8648,[19 285],285
1656,[284],284
8029,[8 9 45 279],279
1890,[9 45 279],279
4978,[92 93 282],282
9691,[92 93 282],282
11804,[51 52 67 280],280
5070,[52 67 280],280
5221,[190 167 168 294],294
10597,[17 90 282],282
6946,[280],280
12138,[50 61 62 66 280],280
2394,[118 119 285],285
12325,[65 16 66 280],280
11609,[51 52 67 280],280
7676,[56 279],279
10458,[17 90 282],282
3348,[45 279],279
2995,[126 288],288
1764,[34 33 207 278],278
11082,[81 82 281],281
11369,[32 207 278],278
11581,[51 52 67 280],280
9682,[92 93 282],282
5271,[288],288
6725,[176 126 288],288
12920,[54 55 56 279],279
4272,[207 278],278
9927,[1 51 52 67 280],280
924,[10 67 280],280
4184,[207 278],278
8156,[207 278],278
4530,[199 139 126 288],288
5330,[45 279],279
5728,[33 207 278],278
4664,[175 141 287],287
12909,[54 55 56 279],279
8277,[281],281
7118,[20 66 280],280
10096,[1 51 52 67 280],280
6866,[19 285],285
12275,[65 16 66 280],280
2218,[276],276
8329,[105 106 284],284
10353,[17 90 282],282
10092,[1 51 52 67 280],280
4021,[],276
895,[22 121 19 285],285
7637,[62 66 280],280
11678,[51 52 67 280],280
1073,[160 292],292
11984,[50 61 62 66 280],280
3311,[45 279],279
2270,[62 66 280],280
6951,[280],280
2567,[55 56 279],279
7421,[213 151 168 294],294
12262,[65 16 66 280],280
4352,[63 62 66 280],280
11203,[32 207 278],278
11264,[32 207 278],278
4954,[177 176 126 288],288
9355,[48 49 15 45 279],279
7874,[205 162 164 293],293
11391,[51 52 67 280],280
2952,[203 204 136 152 290],290
9411,[88 32 207 278],278
2996,[126 288],288
1828,[9 45 279],279
4254,[207 278],278
2508,[9 45 279],279
6778,[101 283],283
5031,[],280
7972,[8 9 45 279],279
6869,[19 285],285
1292,[143 5 287],287
3685,[67 280],280
9998,[1 51 52 67 280],280
11029,[81 82 281],281
4339,[63 62 66 280],280
10859,[81 82 281],281
8009,[8 9 45 279],279
3721,[90 282],282
8153,[207 278],278
11802,[51 52 67 280],280
11907,[50 61 62 66 280],280
3468,[139 126 288],288
2456,[85 281],281
7965,[8 9 45 279],279
746,[65 16 66 280],280
8824,[206 88 32 207 278],278
4576,[51 52 67 280],280
4017,[],276
12510,[65 16 66 280],280
7253,[9 45 279],279
4027,[83 82 281],281
12798,[54 55 56 279],279
7816,[93 282],282
6735,[176 126 288],288
8606,[280],280
11926,[50 61 62 66 280],280
5411,[96 101 283],283
7012,[285],285
10418,[17 90 282],282
12034,[50 61 62 66 280],280
10923,[81 82 281],281
1600,[5 287],287
8327,[105 106 284],284
2590,[55 56 279],279
9250,[48 49 15 45 279],279
9532,[88 32 207 278],278
3905,[67 280],280
12528,[65 16 66 280],280
5333,[45 279],279
1531,[],281
9319,[48 49 15 45 279],279
6810,[50 61 62 66 280],280
4378,[63 62 66 280],280
5980,[281],281
9644,[92 93 282],282
11510,[51 52 67 280],280
10451,[17 90 282],282
4160,[205 162 164 293],293
2803,[279],279
1932,[201 202 133 131 129 288],288
1109,[293],293
9689,[92 93 282],282
11822,[50 61 62 66 280],280
1710,[198 4 286],286
7718,[56 279],279
11435,[51 52 67 280],280
591,[56 279],279
855,[32 207 278],278
6652,[37 34 33 207 278],278
6796,[147 293],293
4257,[207 278],278
2732,[279],279
10137,[1 51 52 67 280],280
532,[282],282
9604,[92 93 282],282
12652,[65 16 66 280],280
1052,[4 286],286
12458,[65 16 66 280],280
8274,[281],281
